City Name,Latitude,Longitude
KARACHI,24.8607,67.0011
LAHORE,31.5204,74.3587
ISLAMABAD,33.6844,73.0479
RAWALPINDI,33.6007,73.0679
PESHAWAR,34.0151,71.5249
QUETTA,30.1798,66.9750
MURREE,33.9042,73.3943
NARAN,34.9039,73.6508
KAGHAN,34.7700,73.5800
SWAT,35.2227,72.4258
HUNZA,36.3167,74.6500
GILGIT,35.9208,74.3083
SKARDU,35.2971,75.6333
FAIRY MEADOWS,35.3775,74.5956
CHITRAL,35.8514,71.7864
MULTAN,30.1575,71.5249
FAISALABAD,31.4504,73.1350
HYDERABAD,25.3960,68.3578
ABBOTTABAD,34.1463,73.2117
BAHAWALPUR,29.3956,71.6722
